id,tiploc,name
165,ALLGARC,Allington A.R.C. Sdg.
166,ALLGREV,Allington A.R.C Reverse
167,ALLOA,Alloa
168,ALLOALP,Alloa Loop
169,ALMNUES,Alnmouth Up Engineers Sidings
170,ALNESS,Alness
171,ALNGEJN,Allington East Jn
172,ALNGJN,Allington West Jn
173,ALNGNJN,Allington North Jn
174,ALNMILL,Little Mill LC
175,ALNMOTH,Alnmouth
176,ALRESFD,Alresford (Essex)
177,ALRSBUS,Alresford (Swan)
178,ALRSFRD,Alresford (Hants)
179,ALRWAS,Alrewas L.C.
180,ALSAEJN,Alsager East Jn
181,ALSAGER,Alsager
182,ALSAUDG,Alsager Up & Dn Gds Loop
183,ALSCGF,Allscott GF
184,ALSCTSW,Allscott Sdgs
185,ALSCUPT,Upton Magna
186,ALSHAM,Aylesham
187,ALSTONS,Alstone C.H.S.
188,ALTFTJN,Altofts Jn
189,ALTHORN,Althorne
190,ALTNBRC,Altnabreac
191,ALTNCCE,Altnabreac C.E.
192,ALTOBUS,Alton (High Street)
193,ALTON,Alton
194,ALTPE,Althorpe
195,ALTPKC,Keadby Canal
196,ALTRNHM,Altrincham
197,ALTT,Alton Towers
198,ALVCHRC,Alvechurch
199,ALVCRLP,Alvechurch Red Lion Pub
200,ALVES,Alves Jn
201,ALXANDR,Alexandria
202,ALXNJTC,Alexandra Dock Jn. T.C.
203,ALXNUDG,Alexandra Docks UDG
204,ALXPD,Alexandra Parade
205,AMBERGJ,Ambergate Jn
206,AMBERGT,Ambergate
207,AMBEWIN,Wingfield
208,AMBRIEU,Amberieu
209,AMERMWD,Mantles Wood
210,AMERSHM,Amersham
211,AMIENS,Amiens
212,AMLWCH,Amlwch
213,AMLWOCT,Amlwch Assoctd Octel Sdg
214,AMLY,Amberley
215,AMMANFD,Ammanford
216,AMNG294,AMINGTON JN SIG NL1294
217,AMNG459,AMINGTON JN SIG NL9459
218,AMNG462,AMINGTON JN SIG NL9462
219,AMNG485,Amington Jn Sig NL5485
220,AMNG487,AMINGTON JN SIG NL3487
221,AMNG488,Amington Jn Sig NL5488
222,AMNG490,AMINGTON JN SIG NL3490
223,AMNGTNJ,Amington Jn
224,AMPFLD,Ampfield (School)
225,AMPTNLS,Ampthill Tunnels
226,AMSTDAM,Amsterdam Cs
227,AMSTSCH,Amsterdam Schiphol
228,ANAT,Annat
229,ANCAHON,Honington
230,ANCASTR,Ancaster
231,ANDO202,Andover Shunt Signal BE5202
232,ANDOKMR,Andover Sidings
233,ANDOLSB,Ludgershall Branch Stop Board
234,ANDOVER,Andover
235,ANDOYD,ANDOVER YARD
236,ANDRSTN,Anderston
237,ANERLEY,Anerley
238,ANGELRD,Angel Road
239,ANGMRNG,Angmering
240,ANGOLEM,Angouleme
241,ANGRFHH,Angerstein Wharf FLHH
242,ANGRMAR,Angerstein Wharf - Marcon
243,ANGRSTJ,Angerstein Jn
244,ANGRSTW,Angerstein Wharf
245,ANGRTAR,Angerstein Wharf (Tarmac)
246,ANNADRS,Annan DRS ISU
247,ANNAN,Annan
248,ANNBANK,Annbank
249,ANSDELL,Ansdell & Fairhaven
250,ANSL,Anniesland
251,ANSL3,Anniesland Platform 3
252,ANSTYXR,Ansty Cross Roads
253,APBY,Appleby
254,APBYNE,Appleby North East Sidings
255,APDR,Appledore (Kent)
256,APERLYJ,Apperley Jn
257,APLHRSJ,Applehurst Jn
258,APLYBDG,Appley Bridge
259,APLYBGW,Appley Bridge Wimpey
260,APPLEFD,Appleford
261,APPLEFS,Appleford Sidings
262,APPLEFX,Appleford L.C.
263,APPLEGB,Appleford SDGS (GBRf)
264,APPLFHH,Appleford FHH
265,APSLEY,Apsley
266,ARAS,Arras
267,ARBRCVR,Arbroath Crossover
268,ARBROTH,Arbroath
269,ARBRURS,Arbroath U.R.S.
270,ARCHAME,Arrochar & Tarbet URS AMEC
271,ARCHRAT,Arrochar & Tarbet
272,ARCHRCE,Arrochar & Tarbert C.E.
273,ARDEGH,Ardleigh
274,ARDGAY,Ardgay
275,ARDGAYC,Ardgay C.E.
276,ARDLUCE,Ardlui C.E.
277,ARDLUI,Ardlui
278,ARDNFHH,Ardingly Hanson Aggregates
279,ARDNGLY,Ardingly
280,ARDRSDS,Ardrossan E.M.U. Sdg
281,ARDRSHB,Ardrossan Harbour
282,ARDRSSB,Ardrossan South Beach
283,ARDRSTN,Ardrossan Town
284,ARDWCK,Ardwck
285,ARDWCKJ,Ardwick Jn
286,ARDWICK,Ardwick
287,ARDWKEJ,Ardwick East Jn
288,ARDWKEY,Ardwick East Yard
289,ARDWTMD,Ardwick T.M.D.
290,ARGYLST,Argyle Street
291,ARISAIG,Arisaig
292,ARISCE,Arisaig C.E.
293,ARKLSTE,ARKLESTON EAST 
294,ARKLSTJ,Arkleston Jn
295,ARKLSTW,ARKLESTON WEST
296,ARKS814,Arksey Signal D814
297,ARKS815,Arksey Signal D815
298,ARKSEYL,Arksey Loop
299,ARKW,Arklow
300,ARLEY,Arley
301,ARLON,Arlon
302,ARLSCAD,Cadwell
303,ARLSEY,Arlesey
304,ARMADLE,Armadle (Skye)
305,ARMDALE,Armadale
306,ARMITAG,Armitage
307,ARMLJCN,Armley Junction
308,ARMTHWT,Armathwaite
309,ARNSIDE,Arnside
310,ARPLEYJ,Arpley Jn
311,ARPLEYS,Arpley Sidings
312,ARPLHOL,Warrington Appley (Hole)
313,ARPLSHS,Arpley H.S.
314,ARPLYFA,Warrington Fuelling Point
315,ARPNRD,Warrington Arpley NC RDS
316,ARRAM,Arram
317,ARUNDEL,Arundel
318,ARUNDLJ,Arundel Jn
319,ARUNLRD,Arundel London Road
320,ASBRDGE,Ash Bridge Junction
321,ASCO501,Ascot Signal F501
322,ASCO504,Ascot Signal F504
323,ASCO506,Ascot Signal F506
324,ASCODS,Ascot Down Siding
325,ASCOT,Ascot
326,ASCTUWD,Ascott-under-Wychwood
327,ASFDMSX,Ashford (Surrey)
328,ASFIELD,Ashfield
329,ASFRDBY,Asfordby Colliery
330,ASHBAWS,Ardwick West Sdgs (EWS)
331,ASHBEWS,Ashburys (EWS)
332,ASHBFHH,Ashburys LaFarge (FLHH)
333,ASHBREJ,Ashburys East Jn
334,ASHBRSB,Ashburys S.B.
335,ASHBRSY,Ashburys S.S.
336,ASHBRWJ,Ashburys West Jn
337,ASHBRYS,Ashburys
338,ASHC453,Ashchurch Signal G453
339,ASHCHRC,Ashchurch
340,ASHCMOD,Ashchurch MOD Sidings
341,ASHCWGF,Ashchurch War Dept G.F.
342,ASHCWTF,Ashchurch War Dept G.F. - ASHCWTF
343,ASHD,Ashtead
344,ASHF119,Ashford Signal AD2119
345,ASHF871,Ashford Signal AD871
346,ASHF878,Ashford Signal AD878
347,ASHFAJN,Ashford A Junction
348,ASHFCEJ,Ashford East Jn (CTRL)
349,ASHFCR,Ashford Crane Depot
350,ASHFCWJ,Ashford West Jn (CTRL)
351,ASHFDNS,Ashford Down Sidings
352,ASHFDYW,Ashford Down Yd Washer Rd
353,ASHFEBS,Ashford East Berthing Sdgs
354,ASHFEJN,Ashford East Junction
355,ASHFKCY,Ashford Down Yard Cantebury End
356,ASHFKDY,Ashford Down Yard
357,ASHFKGR,Ashford Maidstone Loop
358,ASHFKI,Ashford International (ASHFKI)
359,ASHFKPD,Ashford P.A.D.
360,ASHFKY,Ashford International (ASHFKY)
361,ASHFUPS,Ashford Up Sidings
362,ASHFWJN,Ashford West Junction
363,ASHGTNJ,Ashington Jn
364,ASHH,Ash
365,ASHH331,Ash Signal GD1331
366,ASHIMKS,Ashton In Makerfield K.S.
367,ASHIMSB,Ashton in M Stop Board
368,ASHJ335,Ashton Jn Signal B335
369,ASHJGAT,Ashton Gate
370,ASHJN,Ashton Jn
371,ASHJNCE,Ashton Junction (CE)
372,ASHLEY,Ashley
373,ASHONUL,Ashton-under-Lyne
374,ASHTMNJ,Ashton Moss North Jn
375,ASHUBUS,Ashurst Bald Face Stag PH
376,ASHUJN,Ashurst Jn
377,ASHURST,Ashurst
378,ASHV408,Ash Vale Sig WK408
379,ASHVALE,Ash Vale
380,ASHWELC,Ashwell & Morden
381,ASKAM,Askam
382,ASKRNLC,Norton Level Crossing
383,ASLCKTN,Aslockton
384,ASLYBJN,Astley Bridge Jn
385,ASPLEYG,Aspley Guise
386,ASPTBRA,Brayton
387,ASPTRIA,Aspatria
388,ASTLEY,Astley
389,ASTON,Aston
390,ASTOSTJ,Aston South Jn
391,ATADALE,Attadale
392,ATHERTN,Atherton
393,ATHH,Ath
394,ATHLNEY,Athelney Crossing
395,ATHRSTN,Atherstone
396,ATLB431,Attleborough Jn Sig RN3431
397,ATLB533,Attleborough Jn Sig RN9533
398,ATLBRJN,Attleborough Jn
399,ATLBRNJ,Attleborough North Jn
400,ATLBSHI,Shilton
401,ATNBRO,Attenborough
402,ATNBROJ,Attenborough Jn
403,ATTLBON,Attleborough
404,ATTREWS,Attercliffe Sdgs EWS
405,ATTRFHH,Attercliffe Sdgs FHH
406,ATTRMGS,Attercliffe M&G
407,ATTSTEM,Attercliffe Stone Teml D&C
408,AUCHTDR,Auchterarder
409,AUCHTER,Auchterarder
410,AUDLEYE,Audley End
411,AULDGTH,Auldgirth
412,AULNOYE,Aulnoye
413,AVEBRED,Avebury Red Lion
414,AVIEA29,Aviemore Signal A29
415,AVIEDRS,Aviemore DRS ISU (CE)
416,AVIEMRE,Aviemore
417,AVIEMRS,Aviemore (Speyside)
418,AVIEURS,Aviemore URS ISU (CE)
419,AVIGCMT,Avignon C M T
420,AVIGVIL,Avignon Ville
421,AVNCLFF,Avoncliff
422,AVONBEN,Avonmouth Bennetts Siding
423,AVONBHT,Avonmouth BBHT Coal Silos
424,AVONCOL,Avonmouth Coal Silo (COLAS)
425,AVONCT,Avonmouth Ctr Termal EWS
426,AVONDKJ,Avonmouth Dock Jn
427,AVONHAN,Avonmouth Hansons Siding
428,AVONMCM,Avonmouth Chittening Estate
429,AVONMTH,Avonmouth
430,AVONNP2,Avonmouth Ntl Pwr Silo 2
431,AVONNPT,Avonmouth National Power
432,AVONRCK,Avonmouth Rockingham Road
433,AVONWFH,Avonmouth West Wharf (FHH)
434,AVONWWF,Avonmouth No.5 Wharf EWS
435,AWRE,Awre
436,AXMNSEJ,Axminster East Junction
437,AXMNSSA,Axminster Station Approach
438,AXMNSTR,Axminster
439,AXMNSTS,Axminster Station
440,AXMNSWJ,Axminster West Junction
441,AYLESFD,Aylesford
442,AYLS302,Aylesbury Signal ME302
443,AYLS792,Aylesbury Signal ME792
444,AYLSBCH,Aylesbury Branch Siding
445,AYLSBRS,Aylesbury (Sdgs 1 - 7)
446,AYLSBRY,Aylesbury
447,AYLSCCD,Aylesbury C.C.D.
448,AYLSDMU,Aylesbury D.M.U. Depot
449,AYLSNL,Aylesbury North Loop
450,AYLSPWY,Aylesbury Vale Parkway
451,AYLSVJN,Aylesbury Vale Junction
452,AYLSWAD,Waddesdon Manor
453,AYNH501,Aynho Jn Sig  BS501
454,AYNH502,Aynho Signal BS5002
455,AYNHOJ,Aynho Jn
456,AYNHPKJ,Aynho Park Jn
457,AYNHUGL,Aynho Up Goods Loop
458,AYRR,Ayr
459,AYRR335,Ayr Signal PA335
460,AYRR853,Ayr Sig PA853
