line_code,source,target,distance_miles
LN806,1147,1145,0.0
LN806,1145,1142,0.0
LN806,1142,3520,0.0
LN806,3520,668,0.0
LN806,668,665,0.0
LN806,665,9427,0.0
LN806,9427,1554,0.0
LN806,1554,5975,0.0
LN806,5975,5976,0.0
LN806,5976,5974,0.0
LN808,2833,2831,0.0
LN808,2831,2834,0.0
LN808,2834,9397,0.0
LN830,153,152,0.0
LN830,152,150,0.0
LN830,150,148,0.0
LN830,148,7771,0.0
LN830,7771,9284,0.0
LN830,9284,9285,0.0
LN830,9285,1137,0.0
LN830,1137,9771,0.0
LN101,5175,5178,0.0
LN101,5178,5179,0.0
LN101,5179,4386,0.0
LN101,4386,3490,0.0
LN101,3490,4578,0.0
LN101,4578,4581,0.0
LN101,4581,11029,0.0
LN101,11029,4572,0.0
LN101,4572,4575,0.0
LN101,4575,3564,0.0
LN101,3564,4611,0.0
LN101,4611,4607,0.0
LN101,4607,4620,0.0
LN101,4620,4617,0.0
LN101,4617,4610,0.0
LN101,4610,4609,0.0
LN101,4609,160,0.0
LN101,160,11030,0.0
LN101,11030,921,0.0
LN101,921,6564,0.0
LN101,6564,6851,0.0
LN101,6851,6479,0.0
LN101,6479,4061,0.0
LN101,4061,7282,0.0
LN101,7282,1176,0.0
LN101,1176,9847,0.0
LN101,9847,9848,0.0
LN101,9848,4144,0.0
LN101,4144,10178,0.0
LN101,10178,10175,0.0
LN101,10175,10176,0.0
LN101,10176,10174,0.0
LN101,10174,2615,0.0
LN101,2615,10177,0.0
LN101,10177,10095,0.0
LN101,10095,5162,0.0
LN101,5162,5684,0.0
LN101,5684,5277,0.0
LN101,5277,8667,0.0
LN101,8667,8665,0.0
LN101,8665,4339,0.0
LN101,4339,4337,0.0
LN101,4337,4338,0.0
LN101,4338,11031,0.0
LN101,11031,4340,0.0
LN101,4340,11032,0.0
LN101,11032,302,0.0
LN101,302,303,0.0
LN101,303,760,0.0
LN101,760,761,0.0
LN101,761,762,0.0
LN101,762,8469,0.0
LN101,8469,8790,0.0
LN101,8790,4457,0.0
LN101,4457,4455,0.0
LN101,4455,4459,0.0
LN101,4459,2053,0.0
LN101,2053,2051,0.0
LN101,2051,4477,0.0
LN101,4477,3441,0.0
LN101,3441,7037,0.0
LN101,7037,11033,0.0
LN101,11033,7003,0.0
LN101,7003,7016,0.0
LN101,7016,7015,0.0
LN101,7015,7035,0.0
LN101,7035,7046,0.0
LN101,7046,7027,0.0
LN101,7027,7041,0.0
LN101,7041,7048,0.0
