Section rank,Number of disrupted edges,Disrupted edges,Flow trains,Gauge,Trips analysed,Intact Trips,Rerouted Trips,Blocked Trips,Avg Detour (mi),Avg Delay (min)
6,22,"[((1.1708473, 52.0808408), (1.1711365, 52.0807443)), ((1.1711365, 52.0807443), (1.1724135, 52.080181)), ((1.1683617, 52.0812299), (1.1708473, 52.0808408)), ((1.1724135, 52.080181), (1.1747751, 52.0578333)), ((1.1747751, 52.0578333), (1.1751886, 52.057432)), ((1.1751886, 52.057432), (1.1770594, 52.0558808)), ((1.1770594, 52.0558808), (1.1775588, 52.0555138)), ((1.1775588, 52.0555138), (1.1802536, 52.0536389)), ((1.1802536, 52.0536389), (1.1885833, 52.0474985)), ((1.1885833, 52.0474985), (1.2036339, 52.0364897)), ((1.2036339, 52.0364897), (1.2072916, 52.0354055)), ((1.2072916, 52.0354055), (1.2076989, 52.0353255)), ((1.2076989, 52.0353255), (1.2300117, 52.027547)), ((1.2300117, 52.027547), (1.2362799, 52.0254657)), ((1.2362799, 52.0254657), (1.2367305, 52.0252996)), ((1.2367305, 52.0252996), (1.2400735, 52.0239624)), ((1.2400735, 52.0239624), (1.2404886, 52.0238028)), ((1.2404886, 52.0238028), (1.2488434, 52.0210351)), ((1.2488434, 52.0210351), (1.3099336, 51.9819262)), ((1.3099336, 51.9819262), (1.3107793, 51.9814586)), ((1.3107793, 51.9814586), (1.3179359, 51.9774792)), ((1.3179359, 51.9774792), (1.3187255, 51.9770499))]",329,Gauge 6,5211,4882 (93.7%),0 (0.0%),329 (6.3%),0,0
6,22,"[((1.1708473, 52.0808408), (1.1711365, 52.0807443)), ((1.1711365, 52.0807443), (1.1724135, 52.080181)), ((1.1683617, 52.0812299), (1.1708473, 52.0808408)), ((1.1724135, 52.080181), (1.1747751, 52.0578333)), ((1.1747751, 52.0578333), (1.1751886, 52.057432)), ((1.1751886, 52.057432), (1.1770594, 52.0558808)), ((1.1770594, 52.0558808), (1.1775588, 52.0555138)), ((1.1775588, 52.0555138), (1.1802536, 52.0536389)), ((1.1802536, 52.0536389), (1.1885833, 52.0474985)), ((1.1885833, 52.0474985), (1.2036339, 52.0364897)), ((1.2036339, 52.0364897), (1.2072916, 52.0354055)), ((1.2072916, 52.0354055), (1.2076989, 52.0353255)), ((1.2076989, 52.0353255), (1.2300117, 52.027547)), ((1.2300117, 52.027547), (1.2362799, 52.0254657)), ((1.2362799, 52.0254657), (1.2367305, 52.0252996)), ((1.2367305, 52.0252996), (1.2400735, 52.0239624)), ((1.2400735, 52.0239624), (1.2404886, 52.0238028)), ((1.2404886, 52.0238028), (1.2488434, 52.0210351)), ((1.2488434, 52.0210351), (1.3099336, 51.9819262)), ((1.3099336, 51.9819262), (1.3107793, 51.9814586)), ((1.3107793, 51.9814586), (1.3179359, 51.9774792)), ((1.3179359, 51.9774792), (1.3187255, 51.9770499))]",329,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
7,1,"[((-0.9893203, 51.4568761), (-0.9892651, 51.457367))]",319,Gauge 6,5211,4953 (95.0%),258 (5.0%),0 (0.0%),0.54,2.7
7,1,"[((-0.9893203, 51.4568761), (-0.9892651, 51.457367))]",319,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
8,5,"[((-0.3011758, 53.6198941), (-0.300481, 53.618478)), ((-0.300481, 53.618478), (-0.3002432, 53.6155395)), ((-0.3002671, 53.6153213), (-0.3002432, 53.6155395)), ((-0.3083924, 53.607339), (-0.3002671, 53.6153213)), ((-0.3114298, 53.6062873), (-0.3083924, 53.607339))]",318,Gauge 6,5211,5210 (100.0%),1 (0.0%),0 (0.0%),0.00,1.0
8,5,"[((-0.3011758, 53.6198941), (-0.300481, 53.618478)), ((-0.300481, 53.618478), (-0.3002432, 53.6155395)), ((-0.3002671, 53.6153213), (-0.3002432, 53.6155395)), ((-0.3083924, 53.607339), (-0.3002671, 53.6153213)), ((-0.3114298, 53.6062873), (-0.3083924, 53.607339))]",318,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
9,17,"[((1.1300574, 52.0692341), (1.1325923, 52.0710144)), ((1.1325923, 52.0710144), (1.1334921, 52.0715843)), ((1.1295538, 52.0688034), (1.1300574, 52.0692341)), ((1.1334921, 52.0715843), (1.1343568, 52.0721207)), ((1.127634, 52.0669173), (1.1295538, 52.0688034)), ((1.1343568, 52.0721207), (1.1347131, 52.0723361)), ((1.1273403, 52.0665288), (1.127634, 52.0669173)), ((1.1347131, 52.0723361), (1.1388642, 52.0743725)), ((1.1261824, 52.0642142), (1.1273403, 52.0665288)), ((1.1388642, 52.0743725), (1.1417702, 52.075541)), ((1.1261015, 52.0639324), (1.1261824, 52.0642142)), ((1.1417702, 52.075541), (1.1464569, 52.0771456)), ((1.1464569, 52.0771456), (1.1517724, 52.0785802)), ((1.1517724, 52.0785802), (1.1598871, 52.0801821)), ((1.1598871, 52.0801821), (1.1643595, 52.0808772)), ((1.1643595, 52.0808772), (1.1648912, 52.0809431)), ((1.1648912, 52.0809431), (1.1683617, 52.0812299))]",315,Gauge 6,5211,4899 (94.0%),312 (6.0%),0 (0.0%),14.28,53.5
9,17,"[((1.1300574, 52.0692341), (1.1325923, 52.0710144)), ((1.1325923, 52.0710144), (1.1334921, 52.0715843)), ((1.1295538, 52.0688034), (1.1300574, 52.0692341)), ((1.1334921, 52.0715843), (1.1343568, 52.0721207)), ((1.127634, 52.0669173), (1.1295538, 52.0688034)), ((1.1343568, 52.0721207), (1.1347131, 52.0723361)), ((1.1273403, 52.0665288), (1.127634, 52.0669173)), ((1.1347131, 52.0723361), (1.1388642, 52.0743725)), ((1.1261824, 52.0642142), (1.1273403, 52.0665288)), ((1.1388642, 52.0743725), (1.1417702, 52.075541)), ((1.1261015, 52.0639324), (1.1261824, 52.0642142)), ((1.1417702, 52.075541), (1.1464569, 52.0771456)), ((1.1464569, 52.0771456), (1.1517724, 52.0785802)), ((1.1517724, 52.0785802), (1.1598871, 52.0801821)), ((1.1598871, 52.0801821), (1.1643595, 52.0808772)), ((1.1643595, 52.0808772), (1.1648912, 52.0809431)), ((1.1648912, 52.0809431), (1.1683617, 52.0812299))]",315,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
10,25,"[((-1.4441389, 52.4931993), (-1.4441109, 52.4933914)), ((-1.4441109, 52.4933914), (-1.4438673, 52.4960358)), ((-1.4443991, 52.4915038), (-1.4441389, 52.4931993)), ((-1.4438673, 52.4960358), (-1.4438592, 52.4962384)), ((-1.4444179, 52.4913927), (-1.4443991, 52.4915038)), ((-1.4439738, 52.4993959), (-1.4438592, 52.4962384)), ((-1.444605, 52.4899105), (-1.4444179, 52.4913927)), ((-1.444334, 52.5017657), (-1.4439738, 52.4993959)), ((-1.4446089, 52.4897886), (-1.444605, 52.4899105)), ((-1.447261, 52.5100078), (-1.444334, 52.5017657)), ((-1.4446089, 52.4897886), (-1.438747, 52.4754161)), ((-1.4564953, 52.5211568), (-1.447261, 52.5100078)), ((-1.438747, 52.4754161), (-1.4386558, 52.4753215)), ((-1.4567883, 52.5214046), (-1.4564953, 52.5211568)), ((-1.4386558, 52.4753215), (-1.4345123, 52.4717145)), ((-1.4575505, 52.5220271), (-1.4567883, 52.5214046)), ((-1.4345123, 52.4717145), (-1.4339975, 52.4713405)), ((-1.4339975, 52.4713405), (-1.3925502, 52.4458126)), ((-1.3925502, 52.4458126), (-1.3918756, 52.4453864)), ((-1.3918756, 52.4453864), (-1.3723611, 52.4286601)), ((-1.3723611, 52.4286601), (-1.3587557, 52.4239675)), ((-1.3587557, 52.4239675), (-1.3585222, 52.423901)), ((-1.3585222, 52.423901), (-1.3550993, 52.4230054)), ((-1.3550993, 52.4230054), (-1.3549335, 52.4229635)), ((-1.3549335, 52.4229635), (-1.3494324, 52.4213745))]",302,Gauge 6,5211,4747 (91.1%),464 (8.9%),0 (0.0%),6.81,23.4
10,25,"[((-1.4441389, 52.4931993), (-1.4441109, 52.4933914)), ((-1.4441109, 52.4933914), (-1.4438673, 52.4960358)), ((-1.4443991, 52.4915038), (-1.4441389, 52.4931993)), ((-1.4438673, 52.4960358), (-1.4438592, 52.4962384)), ((-1.4444179, 52.4913927), (-1.4443991, 52.4915038)), ((-1.4439738, 52.4993959), (-1.4438592, 52.4962384)), ((-1.444605, 52.4899105), (-1.4444179, 52.4913927)), ((-1.444334, 52.5017657), (-1.4439738, 52.4993959)), ((-1.4446089, 52.4897886), (-1.444605, 52.4899105)), ((-1.447261, 52.5100078), (-1.444334, 52.5017657)), ((-1.4446089, 52.4897886), (-1.438747, 52.4754161)), ((-1.4564953, 52.5211568), (-1.447261, 52.5100078)), ((-1.438747, 52.4754161), (-1.4386558, 52.4753215)), ((-1.4567883, 52.5214046), (-1.4564953, 52.5211568)), ((-1.4386558, 52.4753215), (-1.4345123, 52.4717145)), ((-1.4575505, 52.5220271), (-1.4567883, 52.5214046)), ((-1.4345123, 52.4717145), (-1.4339975, 52.4713405)), ((-1.4339975, 52.4713405), (-1.3925502, 52.4458126)), ((-1.3925502, 52.4458126), (-1.3918756, 52.4453864)), ((-1.3918756, 52.4453864), (-1.3723611, 52.4286601)), ((-1.3723611, 52.4286601), (-1.3587557, 52.4239675)), ((-1.3587557, 52.4239675), (-1.3585222, 52.423901)), ((-1.3585222, 52.423901), (-1.3550993, 52.4230054)), ((-1.3550993, 52.4230054), (-1.3549335, 52.4229635)), ((-1.3549335, 52.4229635), (-1.3494324, 52.4213745))]",302,Gauge 10,864,765 (88.5%),99 (11.5%),0 (0.0%),10.35,37.9
