Section rank,Number of disrupted edges,Disrupted edges,Flow trains,Gauge,Trips analysed,Intact Trips,Rerouted Trips,Blocked Trips,Avg Detour (mi),Avg Delay (min)
55,50,"[((-1.2988751, 51.8460835), (-1.2988417, 51.8457483)), ((-1.2990382, 51.8472598), (-1.2988751, 51.8460835)), ((-1.2989889, 51.8402166), (-1.2988417, 51.8457483)), ((-1.2991179, 51.8476789), (-1.2990382, 51.8472598)), ((-1.2990294, 51.8398416), (-1.2989889, 51.8402166)), ((-1.3014511, 51.8551952), (-1.2991179, 51.8476789)), ((-1.2990794, 51.8393873), (-1.2990294, 51.8398416)), ((-1.301501, 51.8555678), (-1.3014511, 51.8551952)), ((-1.2990936, 51.8392925), (-1.2990794, 51.8393873)), ((-1.301501, 51.8555678), (-1.3010486, 51.8609327)), ((-1.2991351, 51.8388916), (-1.2990936, 51.8392925)), ((-1.3010486, 51.8609327), (-1.3009081, 51.8615765)), ((-1.2991351, 51.8388916), (-1.2986913, 51.8221003)), ((-1.3009081, 51.8615765), (-1.2997649, 51.8664016)), ((-1.2986913, 51.8221003), (-1.2984806, 51.8212745)), ((-1.2997649, 51.8664016), (-1.2996526, 51.8669141)), ((-1.2984806, 51.8212745), (-1.2976139, 51.8165887)), ((-1.2996526, 51.8669141), (-1.2991483, 51.8689924)), ((-1.2976139, 51.8165887), (-1.2949773, 51.7927189)), ((-1.2991483, 51.8689924), (-1.299129, 51.8690756)), ((-1.2949773, 51.7927189), (-1.2947548, 51.7924188)), ((-1.299129, 51.8690756), (-1.2986345, 51.8712419)), ((-1.2947548, 51.7924188), (-1.2946419, 51.7922948)), ((-1.2986345, 51.8712419), (-1.2985301, 51.8716903)), ((-1.2946419, 51.7922948), (-1.294382, 51.7920218)), ((-1.2985301, 51.8716903), (-1.2982674, 51.8727553)), ((-1.294382, 51.7920218), (-1.2941344, 51.7917417)), ((-1.2982674, 51.8727553), (-1.2981535, 51.8731581)), ((-1.2981535, 51.8731581), (-1.2975385, 51.8814639)), ((-1.2980905, 51.8973321), (-1.2975385, 51.8814639)), ((-1.2982164, 51.8979946), (-1.2980905, 51.8973321)), ((-1.2994263, 51.9081579), (-1.2982164, 51.8979946)), ((-1.2994468, 51.9185846), (-1.2994263, 51.9081579)), ((-1.2994468, 51.9185846), (-1.2982338, 51.9205824)), ((-1.2982338, 51.9205824), (-1.2980492, 51.9208053)), ((-1.2980492, 51.9208053), (-1.2898726, 51.9333344)), ((-1.2898937, 51.9335656), (-1.2898726, 51.9333344)), ((-1.2899192, 51.9339288), (-1.2898937, 51.9335656)), ((-1.2899504, 51.9343578), (-1.2899192, 51.9339288)), ((-1.2899504, 51.9343578), (-1.2898832, 51.9374258)), ((-1.2898832, 51.9374258), (-1.2898523, 51.9376881)), ((-1.2898523, 51.9376881), (-1.2880574, 51.9463023)), ((-1.2880574, 51.9463023), (-1.2878781, 51.9470701)), ((-1.2878781, 51.9470701), (-1.2827385, 51.9542962)), ((-1.2827385, 51.9542962), (-1.2826187, 51.9543767)), ((-1.2826187, 51.9543767), (-1.2787416, 51.9568296)), ((-1.2787416, 51.9568296), (-1.27855, 51.9569731)), ((-1.27855, 51.9569731), (-1.2754081, 51.9630781)), ((-1.2754081, 51.9630781), (-1.2747723, 51.9867656)), ((-1.2802299, 51.9995578), (-1.2747723, 51.9867656))]",216,Gauge 6,5211,5211 (100.0%),0 (0.0%),0 (0.0%),0,0
55,50,"[((-1.2988751, 51.8460835), (-1.2988417, 51.8457483)), ((-1.2990382, 51.8472598), (-1.2988751, 51.8460835)), ((-1.2989889, 51.8402166), (-1.2988417, 51.8457483)), ((-1.2991179, 51.8476789), (-1.2990382, 51.8472598)), ((-1.2990294, 51.8398416), (-1.2989889, 51.8402166)), ((-1.3014511, 51.8551952), (-1.2991179, 51.8476789)), ((-1.2990794, 51.8393873), (-1.2990294, 51.8398416)), ((-1.301501, 51.8555678), (-1.3014511, 51.8551952)), ((-1.2990936, 51.8392925), (-1.2990794, 51.8393873)), ((-1.301501, 51.8555678), (-1.3010486, 51.8609327)), ((-1.2991351, 51.8388916), (-1.2990936, 51.8392925)), ((-1.3010486, 51.8609327), (-1.3009081, 51.8615765)), ((-1.2991351, 51.8388916), (-1.2986913, 51.8221003)), ((-1.3009081, 51.8615765), (-1.2997649, 51.8664016)), ((-1.2986913, 51.8221003), (-1.2984806, 51.8212745)), ((-1.2997649, 51.8664016), (-1.2996526, 51.8669141)), ((-1.2984806, 51.8212745), (-1.2976139, 51.8165887)), ((-1.2996526, 51.8669141), (-1.2991483, 51.8689924)), ((-1.2976139, 51.8165887), (-1.2949773, 51.7927189)), ((-1.2991483, 51.8689924), (-1.299129, 51.8690756)), ((-1.2949773, 51.7927189), (-1.2947548, 51.7924188)), ((-1.299129, 51.8690756), (-1.2986345, 51.8712419)), ((-1.2947548, 51.7924188), (-1.2946419, 51.7922948)), ((-1.2986345, 51.8712419), (-1.2985301, 51.8716903)), ((-1.2946419, 51.7922948), (-1.294382, 51.7920218)), ((-1.2985301, 51.8716903), (-1.2982674, 51.8727553)), ((-1.294382, 51.7920218), (-1.2941344, 51.7917417)), ((-1.2982674, 51.8727553), (-1.2981535, 51.8731581)), ((-1.2981535, 51.8731581), (-1.2975385, 51.8814639)), ((-1.2980905, 51.8973321), (-1.2975385, 51.8814639)), ((-1.2982164, 51.8979946), (-1.2980905, 51.8973321)), ((-1.2994263, 51.9081579), (-1.2982164, 51.8979946)), ((-1.2994468, 51.9185846), (-1.2994263, 51.9081579)), ((-1.2994468, 51.9185846), (-1.2982338, 51.9205824)), ((-1.2982338, 51.9205824), (-1.2980492, 51.9208053)), ((-1.2980492, 51.9208053), (-1.2898726, 51.9333344)), ((-1.2898937, 51.9335656), (-1.2898726, 51.9333344)), ((-1.2899192, 51.9339288), (-1.2898937, 51.9335656)), ((-1.2899504, 51.9343578), (-1.2899192, 51.9339288)), ((-1.2899504, 51.9343578), (-1.2898832, 51.9374258)), ((-1.2898832, 51.9374258), (-1.2898523, 51.9376881)), ((-1.2898523, 51.9376881), (-1.2880574, 51.9463023)), ((-1.2880574, 51.9463023), (-1.2878781, 51.9470701)), ((-1.2878781, 51.9470701), (-1.2827385, 51.9542962)), ((-1.2827385, 51.9542962), (-1.2826187, 51.9543767)), ((-1.2826187, 51.9543767), (-1.2787416, 51.9568296)), ((-1.2787416, 51.9568296), (-1.27855, 51.9569731)), ((-1.27855, 51.9569731), (-1.2754081, 51.9630781)), ((-1.2754081, 51.9630781), (-1.2747723, 51.9867656)), ((-1.2802299, 51.9995578), (-1.2747723, 51.9867656))]",216,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
56,2,"[((0.2897193, 52.4040794), (0.2904883, 52.4044796)), ((0.2904883, 52.4044796), (0.2908157, 52.4046445))]",216,Gauge 6,5211,5106 (98.0%),105 (2.0%),0 (0.0%),6.30,12.0
56,2,"[((0.2897193, 52.4040794), (0.2904883, 52.4044796)), ((0.2904883, 52.4044796), (0.2908157, 52.4046445))]",216,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
57,1,"[((-1.3494452, 50.9707337), (-1.3493134, 50.9712603))]",216,Gauge 6,5211,5211 (100.0%),0 (0.0%),0 (0.0%),0,0
57,1,"[((-1.3494452, 50.9707337), (-1.3493134, 50.9712603))]",216,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
58,38,"[((-1.3368552, 51.0003557), (-1.3350367, 51.0032926)), ((-1.3350367, 51.0032926), (-1.3349911, 51.0033724)), ((-1.3369348, 51.0002239), (-1.3368552, 51.0003557)), ((-1.3349911, 51.0033724), (-1.3337111, 51.0055766)), ((-1.3446826, 50.9875003), (-1.3369348, 51.0002239)), ((-1.3337111, 51.0055766), (-1.3336706, 51.0056555)), ((-1.3447376, 50.9873884), (-1.3446826, 50.9875003)), ((-1.3336706, 51.0056555), (-1.3326523, 51.0077276)), ((-1.3449876, 50.9868815), (-1.3447376, 50.9873884)), ((-1.3326523, 51.0077276), (-1.3287977, 51.0193921)), ((-1.3450365, 50.9867697), (-1.3449876, 50.9868815)), ((-1.3287977, 51.0193921), (-1.3284086, 51.0203726)), ((-1.3451976, 50.9863936), (-1.3450365, 50.9867697)), ((-1.3284086, 51.0203726), (-1.3283864, 51.0204284)), ((-1.3452448, 50.9862739), (-1.3451976, 50.9863936)), ((-1.3283864, 51.0204284), (-1.3276271, 51.0223418)), ((-1.3457214, 50.9850885), (-1.3452448, 50.9862739)), ((-1.3276271, 51.0223418), (-1.3275988, 51.0224155)), ((-1.3457555, 50.9849904), (-1.3457214, 50.9850885)), ((-1.3275988, 51.0224155), (-1.3271976, 51.0234093)), ((-1.3466007, 50.9819982), (-1.3457555, 50.9849904)), ((-1.3271976, 51.0234093), (-1.3263014, 51.0261188)), ((-1.3466384, 50.9818585), (-1.3466007, 50.9819982)), ((-1.3263014, 51.0261188), (-1.3259953, 51.0281731)), ((-1.3467028, 50.9816111), (-1.3466384, 50.9818585)), ((-1.3259953, 51.0281731), (-1.3259699, 51.0284486)), ((-1.3467531, 50.9814112), (-1.3467028, 50.9816111)), ((-1.3261156, 51.0319846), (-1.3259699, 51.0284486)), ((-1.3493134, 50.9712603), (-1.3467531, 50.9814112)), ((-1.3263024, 51.03416), (-1.3261156, 51.0319846)), ((-1.3269747, 51.0394786), (-1.3263024, 51.03416)), ((-1.3270276, 51.0400156), (-1.3269747, 51.0394786)), ((-1.3270276, 51.0400156), (-1.3268513, 51.047609)), ((-1.3268513, 51.047609), (-1.3260525, 51.0505713)), ((-1.3260525, 51.0505713), (-1.3227979, 51.0594859)), ((-1.3227979, 51.0594859), (-1.3225085, 51.0602684)), ((-1.3225085, 51.0602684), (-1.3202624, 51.0664351)), ((-1.3202624, 51.0664351), (-1.3201163, 51.0668916))]",215,Gauge 6,5211,5150 (98.8%),61 (1.2%),0 (0.0%),6.16,29.2
58,38,"[((-1.3368552, 51.0003557), (-1.3350367, 51.0032926)), ((-1.3350367, 51.0032926), (-1.3349911, 51.0033724)), ((-1.3369348, 51.0002239), (-1.3368552, 51.0003557)), ((-1.3349911, 51.0033724), (-1.3337111, 51.0055766)), ((-1.3446826, 50.9875003), (-1.3369348, 51.0002239)), ((-1.3337111, 51.0055766), (-1.3336706, 51.0056555)), ((-1.3447376, 50.9873884), (-1.3446826, 50.9875003)), ((-1.3336706, 51.0056555), (-1.3326523, 51.0077276)), ((-1.3449876, 50.9868815), (-1.3447376, 50.9873884)), ((-1.3326523, 51.0077276), (-1.3287977, 51.0193921)), ((-1.3450365, 50.9867697), (-1.3449876, 50.9868815)), ((-1.3287977, 51.0193921), (-1.3284086, 51.0203726)), ((-1.3451976, 50.9863936), (-1.3450365, 50.9867697)), ((-1.3284086, 51.0203726), (-1.3283864, 51.0204284)), ((-1.3452448, 50.9862739), (-1.3451976, 50.9863936)), ((-1.3283864, 51.0204284), (-1.3276271, 51.0223418)), ((-1.3457214, 50.9850885), (-1.3452448, 50.9862739)), ((-1.3276271, 51.0223418), (-1.3275988, 51.0224155)), ((-1.3457555, 50.9849904), (-1.3457214, 50.9850885)), ((-1.3275988, 51.0224155), (-1.3271976, 51.0234093)), ((-1.3466007, 50.9819982), (-1.3457555, 50.9849904)), ((-1.3271976, 51.0234093), (-1.3263014, 51.0261188)), ((-1.3466384, 50.9818585), (-1.3466007, 50.9819982)), ((-1.3263014, 51.0261188), (-1.3259953, 51.0281731)), ((-1.3467028, 50.9816111), (-1.3466384, 50.9818585)), ((-1.3259953, 51.0281731), (-1.3259699, 51.0284486)), ((-1.3467531, 50.9814112), (-1.3467028, 50.9816111)), ((-1.3261156, 51.0319846), (-1.3259699, 51.0284486)), ((-1.3493134, 50.9712603), (-1.3467531, 50.9814112)), ((-1.3263024, 51.03416), (-1.3261156, 51.0319846)), ((-1.3269747, 51.0394786), (-1.3263024, 51.03416)), ((-1.3270276, 51.0400156), (-1.3269747, 51.0394786)), ((-1.3270276, 51.0400156), (-1.3268513, 51.047609)), ((-1.3268513, 51.047609), (-1.3260525, 51.0505713)), ((-1.3260525, 51.0505713), (-1.3227979, 51.0594859)), ((-1.3227979, 51.0594859), (-1.3225085, 51.0602684)), ((-1.3225085, 51.0602684), (-1.3202624, 51.0664351)), ((-1.3202624, 51.0664351), (-1.3201163, 51.0668916))]",215,Gauge 10,864,811 (93.9%),53 (6.1%),0 (0.0%),7.07,32.9
59,70,"[((-1.5211921, 52.2774428), (-1.5173981, 52.2683404)), ((-1.5173981, 52.2683404), (-1.5168262, 52.262879)), ((-1.5222141, 52.2784911), (-1.5211921, 52.2774428)), ((-1.5168262, 52.262879), (-1.5168009, 52.2628165)), ((-1.5222767, 52.2785522), (-1.5222141, 52.2784911)), ((-1.5168009, 52.2628165), (-1.5046268, 52.25325)), ((-1.5228694, 52.2791162), (-1.5222767, 52.2785522)), ((-1.5046268, 52.25325), (-1.5045114, 52.2532032)), ((-1.5262903, 52.2817981), (-1.5228694, 52.2791162)), ((-1.5045114, 52.2532032), (-1.4901938, 52.2481571)), ((-1.5265904, 52.281986), (-1.5262903, 52.2817981)), ((-1.4901938, 52.2481571), (-1.489943, 52.2481149)), ((-1.5275671, 52.2825669), (-1.5265904, 52.281986)), ((-1.489943, 52.2481149), (-1.4475757, 52.239173)), ((-1.5296397, 52.2833753), (-1.5275671, 52.2825669)), ((-1.4475757, 52.239173), (-1.4465648, 52.2390676)), ((-1.5305214, 52.2836125), (-1.5296397, 52.2833753)), ((-1.4465648, 52.2390676), (-1.4216246, 52.2233905)), ((-1.5307127, 52.2836639), (-1.5305214, 52.2836125)), ((-1.4216246, 52.2233905), (-1.4214999, 52.2232288)), ((-1.5318809, 52.2839676), (-1.5307127, 52.2836639)), ((-1.4214999, 52.2232288), (-1.4057307, 52.2065723)), ((-1.5326685, 52.2841715), (-1.5318809, 52.2839676)), ((-1.4057307, 52.2065723), (-1.4055829, 52.2063341)), ((-1.5330681, 52.2842709), (-1.5326685, 52.2841715)), ((-1.4055829, 52.2063341), (-1.4051055, 52.205498)), ((-1.5332233, 52.2843067), (-1.5330681, 52.2842709)), ((-1.4051055, 52.205498), (-1.4039811, 52.2002093)), ((-1.5341969, 52.2844753), (-1.5332233, 52.2843067)), ((-1.4039811, 52.2002093), (-1.4026518, 52.1939128)), ((-1.5343549, 52.2844907), (-1.5341969, 52.2844753)), ((-1.4026518, 52.1939128), (-1.4026143, 52.1938413)), ((-1.5412911, 52.2847278), (-1.5343549, 52.2844907)), ((-1.4026143, 52.1938413), (-1.3938345, 52.1843032)), ((-1.5417123, 52.2847417), (-1.5412911, 52.2847278)), ((-1.3938345, 52.1843032), (-1.3869612, 52.1796547)), ((-1.3869612, 52.1796547), (-1.3868963, 52.1796079)), ((-1.3868963, 52.1796079), (-1.3824622, 52.1766229)), ((-1.3824622, 52.1766229), (-1.3823852, 52.1765701)), ((-1.3823852, 52.1765701), (-1.3780448, 52.1736204)), ((-1.3780448, 52.1736204), (-1.3774735, 52.1732594)), ((-1.3774735, 52.1732594), (-1.3773812, 52.1731966)), ((-1.3773812, 52.1731966), (-1.3595961, 52.1655421)), ((-1.3595961, 52.1655421), (-1.3382304, 52.1412072)), ((-1.3382304, 52.1412072), (-1.338162, 52.1411034)), ((-1.338162, 52.1411034), (-1.3242406, 52.1253154)), ((-1.3242406, 52.1253154), (-1.324212, 52.125247)), ((-1.324212, 52.125247), (-1.3233825, 52.1228371)), ((-1.3233825, 52.1228371), (-1.3233625, 52.1227692)), ((-1.3233625, 52.1227692), (-1.3224219, 52.1171224)), ((-1.3224219, 52.1171224), (-1.3224144, 52.1170437)), ((-1.3224144, 52.1170437), (-1.3220781, 52.1144585)), ((-1.3220781, 52.1144585), (-1.3220677, 52.1143749)), ((-1.3220677, 52.1143749), (-1.3216054, 52.1106086)), ((-1.3216054, 52.1106086), (-1.321596, 52.1104474)), ((-1.326416, 52.0801665), (-1.321596, 52.1104474)), ((-1.3264646, 52.0799935), (-1.326416, 52.0801665)), ((-1.3268501, 52.0786595), (-1.3264646, 52.0799935)), ((-1.3269112, 52.0784646), (-1.3268501, 52.0786595)), ((-1.3305217, 52.0678749), (-1.3269112, 52.0784646)), ((-1.3305217, 52.0678749), (-1.3297632, 52.0634056)), ((-1.3297632, 52.0634056), (-1.3242165, 52.057782)), ((-1.3242165, 52.057782), (-1.2982291, 52.0453572)), ((-1.2982291, 52.0453572), (-1.2939109, 52.0398134)), ((-1.2939109, 52.0398134), (-1.2938711, 52.0397234)), ((-1.2938711, 52.0397234), (-1.2810278, 52.0210791)), ((-1.2810278, 52.0210791), (-1.2793222, 52.0040867)), ((-1.2793712, 52.0039461), (-1.2793222, 52.0040867)), ((-1.2801867, 52.0004443), (-1.2793712, 52.0039461)), ((-1.2802299, 51.9995578), (-1.2801867, 52.0004443))]",215,Gauge 6,5211,5097 (97.8%),114 (2.2%),0 (0.0%),0.01,2.1
59,70,"[((-1.5211921, 52.2774428), (-1.5173981, 52.2683404)), ((-1.5173981, 52.2683404), (-1.5168262, 52.262879)), ((-1.5222141, 52.2784911), (-1.5211921, 52.2774428)), ((-1.5168262, 52.262879), (-1.5168009, 52.2628165)), ((-1.5222767, 52.2785522), (-1.5222141, 52.2784911)), ((-1.5168009, 52.2628165), (-1.5046268, 52.25325)), ((-1.5228694, 52.2791162), (-1.5222767, 52.2785522)), ((-1.5046268, 52.25325), (-1.5045114, 52.2532032)), ((-1.5262903, 52.2817981), (-1.5228694, 52.2791162)), ((-1.5045114, 52.2532032), (-1.4901938, 52.2481571)), ((-1.5265904, 52.281986), (-1.5262903, 52.2817981)), ((-1.4901938, 52.2481571), (-1.489943, 52.2481149)), ((-1.5275671, 52.2825669), (-1.5265904, 52.281986)), ((-1.489943, 52.2481149), (-1.4475757, 52.239173)), ((-1.5296397, 52.2833753), (-1.5275671, 52.2825669)), ((-1.4475757, 52.239173), (-1.4465648, 52.2390676)), ((-1.5305214, 52.2836125), (-1.5296397, 52.2833753)), ((-1.4465648, 52.2390676), (-1.4216246, 52.2233905)), ((-1.5307127, 52.2836639), (-1.5305214, 52.2836125)), ((-1.4216246, 52.2233905), (-1.4214999, 52.2232288)), ((-1.5318809, 52.2839676), (-1.5307127, 52.2836639)), ((-1.4214999, 52.2232288), (-1.4057307, 52.2065723)), ((-1.5326685, 52.2841715), (-1.5318809, 52.2839676)), ((-1.4057307, 52.2065723), (-1.4055829, 52.2063341)), ((-1.5330681, 52.2842709), (-1.5326685, 52.2841715)), ((-1.4055829, 52.2063341), (-1.4051055, 52.205498)), ((-1.5332233, 52.2843067), (-1.5330681, 52.2842709)), ((-1.4051055, 52.205498), (-1.4039811, 52.2002093)), ((-1.5341969, 52.2844753), (-1.5332233, 52.2843067)), ((-1.4039811, 52.2002093), (-1.4026518, 52.1939128)), ((-1.5343549, 52.2844907), (-1.5341969, 52.2844753)), ((-1.4026518, 52.1939128), (-1.4026143, 52.1938413)), ((-1.5412911, 52.2847278), (-1.5343549, 52.2844907)), ((-1.4026143, 52.1938413), (-1.3938345, 52.1843032)), ((-1.5417123, 52.2847417), (-1.5412911, 52.2847278)), ((-1.3938345, 52.1843032), (-1.3869612, 52.1796547)), ((-1.3869612, 52.1796547), (-1.3868963, 52.1796079)), ((-1.3868963, 52.1796079), (-1.3824622, 52.1766229)), ((-1.3824622, 52.1766229), (-1.3823852, 52.1765701)), ((-1.3823852, 52.1765701), (-1.3780448, 52.1736204)), ((-1.3780448, 52.1736204), (-1.3774735, 52.1732594)), ((-1.3774735, 52.1732594), (-1.3773812, 52.1731966)), ((-1.3773812, 52.1731966), (-1.3595961, 52.1655421)), ((-1.3595961, 52.1655421), (-1.3382304, 52.1412072)), ((-1.3382304, 52.1412072), (-1.338162, 52.1411034)), ((-1.338162, 52.1411034), (-1.3242406, 52.1253154)), ((-1.3242406, 52.1253154), (-1.324212, 52.125247)), ((-1.324212, 52.125247), (-1.3233825, 52.1228371)), ((-1.3233825, 52.1228371), (-1.3233625, 52.1227692)), ((-1.3233625, 52.1227692), (-1.3224219, 52.1171224)), ((-1.3224219, 52.1171224), (-1.3224144, 52.1170437)), ((-1.3224144, 52.1170437), (-1.3220781, 52.1144585)), ((-1.3220781, 52.1144585), (-1.3220677, 52.1143749)), ((-1.3220677, 52.1143749), (-1.3216054, 52.1106086)), ((-1.3216054, 52.1106086), (-1.321596, 52.1104474)), ((-1.326416, 52.0801665), (-1.321596, 52.1104474)), ((-1.3264646, 52.0799935), (-1.326416, 52.0801665)), ((-1.3268501, 52.0786595), (-1.3264646, 52.0799935)), ((-1.3269112, 52.0784646), (-1.3268501, 52.0786595)), ((-1.3305217, 52.0678749), (-1.3269112, 52.0784646)), ((-1.3305217, 52.0678749), (-1.3297632, 52.0634056)), ((-1.3297632, 52.0634056), (-1.3242165, 52.057782)), ((-1.3242165, 52.057782), (-1.2982291, 52.0453572)), ((-1.2982291, 52.0453572), (-1.2939109, 52.0398134)), ((-1.2939109, 52.0398134), (-1.2938711, 52.0397234)), ((-1.2938711, 52.0397234), (-1.2810278, 52.0210791)), ((-1.2810278, 52.0210791), (-1.2793222, 52.0040867)), ((-1.2793712, 52.0039461), (-1.2793222, 52.0040867)), ((-1.2801867, 52.0004443), (-1.2793712, 52.0039461)), ((-1.2802299, 51.9995578), (-1.2801867, 52.0004443))]",215,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
60,35,"[((-1.59305, 52.2868034), (-1.5929414, 52.2868013)), ((-1.5929414, 52.2868013), (-1.5859928, 52.2866762)), ((-1.5969255, 52.2868521), (-1.59305, 52.2868034)), ((-1.5859928, 52.2866762), (-1.5800162, 52.2865697)), ((-1.5972425, 52.2868462), (-1.5969255, 52.2868521)), ((-1.5800162, 52.2865697), (-1.5797875, 52.2865648)), ((-1.6080771, 52.2856826), (-1.5972425, 52.2868462)), ((-1.5797875, 52.2865648), (-1.5750033, 52.2864499)), ((-1.6081794, 52.2856822), (-1.6080771, 52.2856826)), ((-1.5750033, 52.2864499), (-1.5748109, 52.2864395)), ((-1.6098428, 52.2857384), (-1.6081794, 52.2856822)), ((-1.5748109, 52.2864395), (-1.5714531, 52.2861303)), ((-1.6102707, 52.285771), (-1.6098428, 52.2857384)), ((-1.5714531, 52.2861303), (-1.5707621, 52.2860351)), ((-1.6118735, 52.2859422), (-1.6102707, 52.285771)), ((-1.5707621, 52.2860351), (-1.5635668, 52.2848101)), ((-1.6119709, 52.2859562), (-1.6118735, 52.2859422)), ((-1.5635668, 52.2848101), (-1.5626701, 52.284681)), ((-1.6143817, 52.2863998), (-1.6119709, 52.2859562)), ((-1.5626701, 52.284681), (-1.5473837, 52.2848448)), ((-1.6145056, 52.2864302), (-1.6143817, 52.2863998)), ((-1.5473837, 52.2848448), (-1.5471846, 52.2848489)), ((-1.6185535, 52.2878), (-1.6145056, 52.2864302)), ((-1.5471846, 52.2848489), (-1.5471303, 52.2848495)), ((-1.6186527, 52.287846), (-1.6185535, 52.2878)), ((-1.5471303, 52.2848495), (-1.5470217, 52.2848495)), ((-1.6214409, 52.2892422), (-1.6186527, 52.287846)), ((-1.5470217, 52.2848495), (-1.5417123, 52.2847417)), ((-1.6215079, 52.2892758), (-1.6214409, 52.2892422)), ((-1.6286292, 52.2928359), (-1.6215079, 52.2892758)), ((-1.628778, 52.292902), (-1.6286292, 52.2928359)), ((-1.6359646, 52.2955459), (-1.628778, 52.292902)), ((-1.6360718, 52.2955777), (-1.6359646, 52.2955459)), ((-1.6613937, 52.2968812), (-1.6360718, 52.2955777)), ((-1.6686671, 52.2952687), (-1.6613937, 52.2968812))]",214,Gauge 6,5211,5188 (99.6%),23 (0.4%),0 (0.0%),0.00,6.7
60,35,"[((-1.59305, 52.2868034), (-1.5929414, 52.2868013)), ((-1.5929414, 52.2868013), (-1.5859928, 52.2866762)), ((-1.5969255, 52.2868521), (-1.59305, 52.2868034)), ((-1.5859928, 52.2866762), (-1.5800162, 52.2865697)), ((-1.5972425, 52.2868462), (-1.5969255, 52.2868521)), ((-1.5800162, 52.2865697), (-1.5797875, 52.2865648)), ((-1.6080771, 52.2856826), (-1.5972425, 52.2868462)), ((-1.5797875, 52.2865648), (-1.5750033, 52.2864499)), ((-1.6081794, 52.2856822), (-1.6080771, 52.2856826)), ((-1.5750033, 52.2864499), (-1.5748109, 52.2864395)), ((-1.6098428, 52.2857384), (-1.6081794, 52.2856822)), ((-1.5748109, 52.2864395), (-1.5714531, 52.2861303)), ((-1.6102707, 52.285771), (-1.6098428, 52.2857384)), ((-1.5714531, 52.2861303), (-1.5707621, 52.2860351)), ((-1.6118735, 52.2859422), (-1.6102707, 52.285771)), ((-1.5707621, 52.2860351), (-1.5635668, 52.2848101)), ((-1.6119709, 52.2859562), (-1.6118735, 52.2859422)), ((-1.5635668, 52.2848101), (-1.5626701, 52.284681)), ((-1.6143817, 52.2863998), (-1.6119709, 52.2859562)), ((-1.5626701, 52.284681), (-1.5473837, 52.2848448)), ((-1.6145056, 52.2864302), (-1.6143817, 52.2863998)), ((-1.5473837, 52.2848448), (-1.5471846, 52.2848489)), ((-1.6185535, 52.2878), (-1.6145056, 52.2864302)), ((-1.5471846, 52.2848489), (-1.5471303, 52.2848495)), ((-1.6186527, 52.287846), (-1.6185535, 52.2878)), ((-1.5471303, 52.2848495), (-1.5470217, 52.2848495)), ((-1.6214409, 52.2892422), (-1.6186527, 52.287846)), ((-1.5470217, 52.2848495), (-1.5417123, 52.2847417)), ((-1.6215079, 52.2892758), (-1.6214409, 52.2892422)), ((-1.6286292, 52.2928359), (-1.6215079, 52.2892758)), ((-1.628778, 52.292902), (-1.6286292, 52.2928359)), ((-1.6359646, 52.2955459), (-1.628778, 52.292902)), ((-1.6360718, 52.2955777), (-1.6359646, 52.2955459)), ((-1.6613937, 52.2968812), (-1.6360718, 52.2955777)), ((-1.6686671, 52.2952687), (-1.6613937, 52.2968812))]",214,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
61,1,"[((-1.2941344, 51.7917417), (-1.2934462, 51.7910904))]",214,Gauge 6,5211,5211 (100.0%),0 (0.0%),0 (0.0%),0,0
61,1,"[((-1.2941344, 51.7917417), (-1.2934462, 51.7910904))]",214,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
62,16,"[((-0.6186743, 52.8794933), (-0.6186243, 52.8791415)), ((-0.6248843, 52.8930324), (-0.6186743, 52.8794933)), ((-0.6186243, 52.8791415), (-0.6169529, 52.8675237)), ((-0.6253593, 52.8934268), (-0.6248843, 52.8930324)), ((-0.6169529, 52.8675237), (-0.6169242, 52.8672987)), ((-0.6316523, 52.8981535), (-0.6253593, 52.8934268)), ((-0.6169242, 52.8672987), (-0.615673, 52.8632529)), ((-0.6366257, 52.9018287), (-0.6316523, 52.8981535)), ((-0.615673, 52.8632529), (-0.6156086, 52.8631019)), ((-0.6156086, 52.8631019), (-0.610444, 52.8563974)), ((-0.610444, 52.8563974), (-0.6059305, 52.8527292)), ((-0.6059305, 52.8527292), (-0.6057116, 52.8525862)), ((-0.6057116, 52.8525862), (-0.6044813, 52.8518172)), ((-0.6044813, 52.8518172), (-0.6009215, 52.849923)), ((-0.6009215, 52.849923), (-0.5913398, 52.8455863)), ((-0.5913398, 52.8455863), (-0.5783035, 52.8378308))]",214,Gauge 6,5211,4973 (95.4%),238 (4.6%),0 (0.0%),0.32,3.0
